ticker,member_ticker_and_exchange_code
SPX Index,A UN
SPX Index,AAL UW
SPX Index,AAP UN
SPX Index,AAPL UW
SPX Index,ABBV UN
SPX Index,ABC UN
SPX Index,ABMD UW
SPX Index,ABT UN
SPX Index,ACN UN
SPX Index,ADBE UW
SPX Index,ADI UW
SPX Index,ADM UN
SPX Index,ADP UW
SPX Index,ADS UN
SPX Index,ADSK UW
SPX Index,AEE UN
SPX Index,AEP UN
SPX Index,AES UN
SPX Index,AFL UN
SPX Index,AGN UN
SPX Index,AIG UN
SPX Index,AIV UN
SPX Index,AIZ UN
SPX Index,AJG UN
SPX Index,AKAM UW
SPX Index,ALB UN
SPX Index,ALGN UW
SPX Index,ALK UN
SPX Index,ALL UN
SPX Index,ALLE UN
SPX Index,ALXN UW
SPX Index,AMAT UW
SPX Index,AMCR UN
SPX Index,AMD UW
SPX Index,AME UN
SPX Index,AMGN UW
SPX Index,AMP UN
SPX Index,AMT UN
SPX Index,AMZN UW
SPX Index,ANET UN
SPX Index,ANSS UW
SPX Index,ANTM UN
SPX Index,AON UN
SPX Index,AOS UN
SPX Index,APA UN
SPX Index,APD UN
SPX Index,APH UN
SPX Index,APTV UN
SPX Index,ARE UN
SPX Index,ARNC UN
SPX Index,ATO UN
SPX Index,ATVI UW
SPX Index,AVB UN
SPX Index,AVGO UW
SPX Index,AVY UN
SPX Index,AWK UN
SPX Index,AXP UN
SPX Index,AZO UN
SPX Index,BA UN
SPX Index,BAC UN
SPX Index,BAX UN
SPX Index,BBY UN
SPX Index,BDX UN
SPX Index,BEN UN
SPX Index,BF/B UN
SPX Index,BIIB UW
SPX Index,BK UN
SPX Index,BKNG UW
SPX Index,BKR UN
SPX Index,BLK UN
SPX Index,BLL UN
SPX Index,BMY UN
SPX Index,BR UN
SPX Index,BRK/B UN
SPX Index,BSX UN
SPX Index,BWA UN
SPX Index,BXP UN
SPX Index,C UN
SPX Index,CAG UN
SPX Index,CAH UN
SPX Index,CAT UN
SPX Index,CB UN
SPX Index,CBOE UF
SPX Index,CBRE UN
SPX Index,CCI UN
SPX Index,CCL UN
SPX Index,CDNS UW
SPX Index,CDW UW
SPX Index,CE UN
SPX Index,CERN UW
SPX Index,CF UN
SPX Index,CFG UN
SPX Index,CHD UN
SPX Index,CHRW UW
SPX Index,CHTR UW
SPX Index,CI UN
SPX Index,CINF UW
SPX Index,CL UN
SPX Index,CLX UN
SPX Index,CMA UN
SPX Index,CMCSA UW
SPX Index,CME UW
SPX Index,CMG UN
SPX Index,CMI UN
SPX Index,CMS UN
SPX Index,CNC UN
SPX Index,CNP UN
SPX Index,COF UN
SPX Index,COG UN
SPX Index,COO UN
SPX Index,COP UN
SPX Index,COST UW
SPX Index,COTY UN
SPX Index,CPB UN
SPX Index,CPRI UN
SPX Index,CPRT UW
SPX Index,CRM UN
SPX Index,CSCO UW
SPX Index,CSX UW
SPX Index,CTAS UW
SPX Index,CTL UN
SPX Index,CTSH UW
SPX Index,CTVA UN
SPX Index,CTXS UW
SPX Index,CVS UN
SPX Index,CVX UN
SPX Index,CXO UN
SPX Index,D UN
SPX Index,DAL UN
SPX Index,DD UN
SPX Index,DE UN
SPX Index,DFS UN
SPX Index,DG UN
SPX Index,DGX UN
SPX Index,DHI UN
SPX Index,DHR UN
SPX Index,DIS UN
SPX Index,DISCA UW
SPX Index,DISCK UW
SPX Index,DISH UW
SPX Index,DLR UN
SPX Index,DLTR UW
SPX Index,DOV UN
SPX Index,DOW UN
SPX Index,DRE UN
SPX Index,DRI UN
SPX Index,DTE UN
SPX Index,DUK UN
SPX Index,DVA UN
SPX Index,DVN UN
SPX Index,DXC UN
SPX Index,EA UW
SPX Index,EBAY UW
SPX Index,ECL UN
SPX Index,ED UN
SPX Index,EFX UN
SPX Index,EIX UN
SPX Index,EL UN
SPX Index,EMN UN
SPX Index,EMR UN
SPX Index,EOG UN
SPX Index,EQIX UW
SPX Index,EQR UN
SPX Index,ES UN
SPX Index,ESS UN
SPX Index,ETFC UW
SPX Index,ETN UN
SPX Index,ETR UN
SPX Index,EVRG UN
SPX Index,EW UN
SPX Index,EXC UW
SPX Index,EXPD UW
SPX Index,EXPE UW
SPX Index,EXR UN
SPX Index,F UN
SPX Index,FANG UW
SPX Index,FAST UW
SPX Index,FB UW
SPX Index,FBHS UN
SPX Index,FCX UN
SPX Index,FDX UN
SPX Index,FE UN
SPX Index,FFIV UW
SPX Index,FIS UN
SPX Index,FISV UW
SPX Index,FITB UW
SPX Index,FLIR UW
SPX Index,FLS UN
SPX Index,FLT UN
SPX Index,FMC UN
SPX Index,FOX UW
SPX Index,FOXA UW
SPX Index,FRC UN
SPX Index,FRT UN
SPX Index,FTI UN
SPX Index,FTNT UW
SPX Index,FTV UN
SPX Index,GD UN
SPX Index,GE UN
SPX Index,GILD UW
SPX Index,GIS UN
SPX Index,GL UN
SPX Index,GLW UN
SPX Index,GM UN
SPX Index,GOOG UW
SPX Index,GOOGL UW
SPX Index,GPC UN
SPX Index,GPN UN
SPX Index,GPS UN
SPX Index,GRMN UW
SPX Index,GS UN
SPX Index,GWW UN
SPX Index,HAL UN
SPX Index,HAS UW
SPX Index,HBAN UW
SPX Index,HBI UN
SPX Index,HCA UN
SPX Index,HD UN
SPX Index,HES UN
SPX Index,HFC UN
SPX Index,HIG UN
SPX Index,HII UN
SPX Index,HLT UN
SPX Index,HOG UN
SPX Index,HOLX UW
SPX Index,HON UN
SPX Index,HP UN
SPX Index,HPE UN
SPX Index,HPQ UN
SPX Index,HRB UN
SPX Index,HRL UN
SPX Index,HSIC UW
SPX Index,HST UN
SPX Index,HSY UN
SPX Index,HUM UN
SPX Index,IBM UN
SPX Index,ICE UN
SPX Index,IDXX UW
SPX Index,IEX UN
SPX Index,IFF UN
SPX Index,ILMN UW
SPX Index,INCY UW
SPX Index,INFO UN
SPX Index,INTC UW
SPX Index,INTU UW
SPX Index,IP UN
SPX Index,IPG UN
SPX Index,IPGP UW
SPX Index,IQV UN
SPX Index,IR UN
SPX Index,IRM UN
SPX Index,ISRG UW
SPX Index,IT UN
SPX Index,ITW UN
SPX Index,IVZ UN
SPX Index,J UN
SPX Index,JBHT UW
SPX Index,JCI UN
SPX Index,JKHY UW
SPX Index,JNJ UN
SPX Index,JNPR UN
SPX Index,JPM UN
SPX Index,JWN UN
SPX Index,K UN
SPX Index,KEY UN
SPX Index,KEYS UN
SPX Index,KHC UW
SPX Index,KIM UN
SPX Index,KLAC UW
SPX Index,KMB UN
SPX Index,KMI UN
SPX Index,KMX UN
SPX Index,KO UN
SPX Index,KR UN
SPX Index,KSS UN
SPX Index,KSU UN
SPX Index,L UN
SPX Index,LB UN
SPX Index,LDOS UN
SPX Index,LEG UN
SPX Index,LEN UN
SPX Index,LH UN
SPX Index,LHX UN
SPX Index,LIN UN
SPX Index,LKQ UW
SPX Index,LLY UN
SPX Index,LMT UN
SPX Index,LNC UN
SPX Index,LNT UW
SPX Index,LOW UN
SPX Index,LRCX UW
SPX Index,LUV UN
SPX Index,LVS UN
SPX Index,LW UN
SPX Index,LYB UN
SPX Index,LYV UN
SPX Index,M UN
SPX Index,MA UN
SPX Index,MAA UN
SPX Index,MAR UW
SPX Index,MAS UN
SPX Index,MCD UN
SPX Index,MCHP UW
SPX Index,MCK UN
SPX Index,MCO UN
SPX Index,MDLZ UW
SPX Index,MDT UN
SPX Index,MET UN
SPX Index,MGM UN
SPX Index,MHK UN
SPX Index,MKC UN
SPX Index,MKTX UW
SPX Index,MLM UN
SPX Index,MMC UN
SPX Index,MMM UN
SPX Index,MNST UW
SPX Index,MO UN
SPX Index,MOS UN
SPX Index,MPC UN
SPX Index,MRK UN
SPX Index,MRO UN
SPX Index,MS UN
SPX Index,MSCI UN
SPX Index,MSFT UW
SPX Index,MSI UN
SPX Index,MTB UN
SPX Index,MTD UN
SPX Index,MU UW
SPX Index,MXIM UW
SPX Index,MYL UW
SPX Index,NBL UW
SPX Index,NCLH UN
SPX Index,NDAQ UW
SPX Index,NEE UN
SPX Index,NEM UN
SPX Index,NFLX UW
SPX Index,NI UN
SPX Index,NKE UN
SPX Index,NLOK UW
SPX Index,NLSN UN
SPX Index,NOC UN
SPX Index,NOV UN
SPX Index,NOW UN
SPX Index,NRG UN
SPX Index,NSC UN
SPX Index,NTAP UW
SPX Index,NTRS UW
SPX Index,NUE UN
SPX Index,NVDA UW
SPX Index,NVR UN
SPX Index,NWL UW
SPX Index,NWS UW
SPX Index,NWSA UW
SPX Index,O UN
SPX Index,ODFL UW
SPX Index,OKE UN
SPX Index,OMC UN
SPX Index,ORCL UN
SPX Index,ORLY UW
SPX Index,OXY UN
SPX Index,PAYC UN
SPX Index,PAYX UW
SPX Index,PBCT UW
SPX Index,PCAR UW
SPX Index,PEAK UN
SPX Index,PEG UN
SPX Index,PEP UW
SPX Index,PFE UN
SPX Index,PFG UW
SPX Index,PG UN
SPX Index,PGR UN
SPX Index,PH UN
SPX Index,PHM UN
SPX Index,PKG UN
SPX Index,PKI UN
SPX Index,PLD UN
SPX Index,PM UN
SPX Index,PNC UN
SPX Index,PNR UN
SPX Index,PNW UN
SPX Index,PPG UN
SPX Index,PPL UN
SPX Index,PRGO UN
SPX Index,PRU UN
SPX Index,PSA UN
SPX Index,PSX UN
SPX Index,PVH UN
SPX Index,PWR UN
SPX Index,PXD UN
SPX Index,PYPL UW
SPX Index,QCOM UW
SPX Index,QRVO UW
SPX Index,RCL UN
SPX Index,RE UN
SPX Index,REG UW
SPX Index,REGN UW
SPX Index,RF UN
SPX Index,RHI UN
SPX Index,RJF UN
SPX Index,RL UN
SPX Index,RMD UN
SPX Index,ROK UN
SPX Index,ROL UN
SPX Index,ROP UN
SPX Index,ROST UW
SPX Index,RSG UN
SPX Index,RTN UN
SPX Index,SBAC UW
SPX Index,SBUX UW
SPX Index,SCHW UN
SPX Index,SEE UN
SPX Index,SHW UN
SPX Index,SIVB UW
SPX Index,SJM UN
SPX Index,SLB UN
SPX Index,SLG UN
SPX Index,SNA UN
SPX Index,SNPS UW
SPX Index,SO UN
SPX Index,SPG UN
SPX Index,SPGI UN
SPX Index,SRE UN
SPX Index,STE UN
SPX Index,STT UN
SPX Index,STX UW
SPX Index,STZ UN
SPX Index,SWK UN
SPX Index,SWKS UW
SPX Index,SYF UN
SPX Index,SYK UN
SPX Index,SYY UN
SPX Index,T UN
SPX Index,TAP UN
SPX Index,TDG UN
SPX Index,TEL UN
SPX Index,TFC UN
SPX Index,TFX UN
SPX Index,TGT UN
SPX Index,TIF UN
SPX Index,TJX UN
SPX Index,TMO UN
SPX Index,TMUS UW
SPX Index,TPR UN
SPX Index,TROW UW
SPX Index,TRV UN
SPX Index,TSCO UW
SPX Index,TSN UN
SPX Index,TTWO UW
SPX Index,TWTR UN
SPX Index,TXN UW
SPX Index,TXT UN
SPX Index,UA UN
SPX Index,UAA UN
SPX Index,UAL UW
SPX Index,UDR UN
SPX Index,UHS UN
SPX Index,ULTA UW
SPX Index,UNH UN
SPX Index,UNM UN
SPX Index,UNP UN
SPX Index,UPS UN
SPX Index,URI UN
SPX Index,USB UN
SPX Index,UTX UN
SPX Index,V UN
SPX Index,VAR UN
SPX Index,VFC UN
SPX Index,VIAC UW
SPX Index,VLO UN
SPX Index,VMC UN
SPX Index,VNO UN
SPX Index,VRSK UW
SPX Index,VRSN UW
SPX Index,VRTX UW
SPX Index,VTR UN
SPX Index,VZ UN
SPX Index,WAB UN
SPX Index,WAT UN
SPX Index,WBA UW
SPX Index,WDC UW
SPX Index,WEC UN
SPX Index,WELL UN
SPX Index,WFC UN
SPX Index,WHR UN
SPX Index,WLTW UW
SPX Index,WM UN
SPX Index,WMB UN
SPX Index,WMT UN
SPX Index,WRB UN
SPX Index,WRK UN
SPX Index,WU UN
SPX Index,WY UN
SPX Index,WYNN UW
SPX Index,XEC UN
SPX Index,XEL UW
SPX Index,XLNX UW
SPX Index,XOM UN
SPX Index,XRAY UW
SPX Index,XRX UN
SPX Index,XYL UN
SPX Index,YUM UN
SPX Index,ZBH UN
SPX Index,ZBRA UW
SPX Index,ZION UW
SPX Index,ZTS UN
